id,ad_owner_id,buyer_user_id,ad_id,sold_price,created_at
0,448,1934,86859,426,2017-08-05 17:19:33.657400
1,2711,1407,62989,450,2016-09-04 13:23:49.203142
2,216,2655,87497,459,2017-04-21 19:34:59.480896
3,1475,1559,63761,456,2019-04-30 17:36:21.229436
4,2845,1764,96351,397,2020-04-13 16:40:17.778287
5,2347,378,74558,447,2017-10-10 19:55:36.117745
6,2977,2969,67690,406,2016-07-27 11:11:51.955104
7,1478,2474,71129,434,2018-11-20 15:05:38.192732
8,1429,57,54308,326,2018-12-30 06:09:02.723450
9,2179,752,51154,482,2016-12-25 12:38:20.936146
10,2423,1245,68954,453,2020-12-30 08:55:52.818924
11,1340,1371,63817,502,2019-02-20 12:21:45.755075
12,2714,1931,61358,643,2019-06-14 15:17:11.568435
13,715,954,65793,509,2020-07-04 13:54:28.778487
14,925,1885,57346,405,2018-12-05 15:01:36.108622
15,1618,736,55198,376,2017-04-25 17:37:48.876835
16,280,678,82069,571,2020-12-21 05:37:07.893479
17,267,742,83503,538,2019-06-27 10:53:16.952057
18,2633,647,91083,418,2016-05-04 11:14:42.088581
19,981,2496,72735,382,2017-05-23 08:47:29.134142
20,1561,453,84034,507,2017-02-21 08:04:46.419713
21,1851,2313,59922,490,2016-07-09 10:52:06.391964
22,333,1727,86373,457,2017-12-19 11:13:30.510028
23,1137,134,62573,478,2019-12-27 13:16:09.030740
24,2113,882,78600,482,2020-04-30 19:36:33.291140
25,950,2945,89536,456,2016-02-04 19:49:09.175439
26,2188,131,78710,489,2020-03-02 12:40:33.922489
27,1870,113,70129,442,2019-02-06 14:40:38.992413
28,2476,2822,90433,531,2019-07-10 17:19:04.970038
29,1695,1559,69618,558,2018-09-29 19:56:39.641560
30,466,2812,61855,479,2018-05-15 16:39:49.187402
31,79,389,81235,477,2018-05-05 18:38:54.475942
32,1008,2313,71382,510,2020-02-03 16:33:02.830363
33,441,2722,70049,483,2017-01-19 18:34:56.508376
34,2788,205,73872,553,2017-06-15 14:44:57.788944
35,2158,271,69295,455,2016-04-29 17:24:32.986128
36,676,507,77044,594,2016-06-13 08:21:11.114030
37,1289,2410,62098,527,2017-04-11 18:19:44.323472
38,152,1004,83753,512,2019-02-15 15:12:50.540824
39,254,222,82641,576,2018-12-02 15:07:56.798665
40,2209,756,62983,538,2016-03-09 16:44:58.497933
41,82,1693,72374,473,2016-12-26 10:21:14.317226
42,542,889,59628,450,2019-07-07 06:45:09.347709
43,2556,2673,52927,563,2018-09-03 12:11:41.895769
44,785,2502,53456,525,2017-04-24 13:39:19.464468
45,915,2550,54109,501,2016-05-28 18:23:41.602653
46,2735,888,51776,566,2017-07-06 10:00:40.799482
47,321,1223,74834,529,2020-04-06 09:16:23.275436
48,1664,1363,89368,496,2017-05-16 11:07:31.639732
49,2715,591,68783,539,2019-07-26 22:09:04.118941
50,189,1158,59777,576,2018-06-11 16:35:12.007756
51,632,2516,69248,534,2016-04-26 20:23:13.228755
52,2632,1338,64746,553,2021-01-07 18:12:35.702483
53,786,1172,62752,462,2017-04-09 10:39:31.110594
54,1560,2280,87334,574,2016-08-05 11:11:47.156600
55,1164,1830,91872,505,2018-05-15 11:13:32.000281
56,304,2751,84096,544,2016-04-19 10:33:37.457964
57,770,2216,94532,495,2016-04-22 04:37:23.397527
58,1543,404,50589,431,2018-07-09 17:20:00.350669
59,35,2543,97085,571,2019-02-06 09:15:03.736139
60,1387,1542,94852,610,2019-05-27 12:49:10.829218
61,2663,2274,70050,545,2016-09-08 17:42:38.404729
62,23,130,68546,524,2020-05-14 00:47:30.101685
63,358,385,66681,558,2017-09-11 00:27:26.714364
64,2218,2537,97071,571,2018-06-17 19:51:27.604542
65,1647,2046,85816,528,2019-04-29 12:17:34.693105
66,2839,1218,70176,481,2017-07-18 20:24:29.866561
67,2836,195,89385,566,2017-06-23 10:08:11.643664
68,1725,1801,73968,520,2016-11-26 19:53:48.842736
69,1773,1335,72594,541,2019-12-21 14:12:08.325234
70,1835,1658,51734,513,2018-05-27 12:09:12.823560
71,2829,690,65091,499,2020-05-26 20:00:31.760598
72,681,1639,76153,577,2016-08-15 16:45:10.110146
73,553,434,83111,562,2017-01-14 14:48:55.430430
74,2042,845,71653,615,2016-08-16 14:03:17.952467
75,2766,1279,81439,640,2018-03-11 09:45:40.604629
76,606,932,71388,512,2018-12-10 07:22:45.190534
77,2939,1758,71532,627,2018-05-05 14:16:54.811915
78,2168,365,79689,570,2018-08-01 14:33:04.491996
79,1917,2122,58553,548,2016-06-25 08:29:07.822644
80,730,34,58707,599,2016-02-13 19:39:55.286461
81,2626,813,66305,536,2018-05-02 14:50:36.994413
82,2914,1688,95467,535,2020-04-30 13:31:43.397257
83,1512,2821,95344,592,2016-07-25 11:48:06.107274
84,2601,1871,54442,590,2020-04-16 13:16:54.520504
85,2603,2674,88222,688,2018-02-05 16:31:05.584412
86,2390,426,54733,521,2019-02-02 15:30:04.785747
87,2579,1756,55398,490,2020-12-18 18:54:14.066964
88,2620,738,90899,521,2020-10-11 17:02:44.607666
89,1772,2458,61128,515,2018-06-25 17:30:47.386116
90,2634,260,72897,527,2016-09-13 09:26:06.912190
91,730,1022,86278,553,2016-08-24 21:18:07.987375
92,2966,1259,97554,588,2019-07-03 07:24:55.583248
93,2130,2440,60004,540,2016-10-09 20:14:14.005470
94,2344,1497,51632,579,2016-03-01 07:22:17.691261
95,1014,1214,71312,607,2020-07-28 10:01:58.227729
96,547,1698,81324,563,2016-12-08 18:01:07.873250
97,1877,2631,62364,541,2018-06-04 12:20:17.127977
98,180,1645,93335,567,2020-11-14 10:53:33.444679
99,893,2057,88033,450,2017-12-14 15:32:11.321697
100,2478,1699,52686,632,2018-07-22 12:32:44.621905
101,634,2664,89284,731,2016-05-05 11:41:35.425963
102,1543,718,64015,602,2017-09-26 16:50:47.487915
103,2646,1777,85043,549,2019-07-11 16:52:55.436078
104,1564,2934,85079,630,2020-07-21 11:56:14.460734
105,868,1756,99608,546,2019-04-24 14:40:00.597956
106,1664,21,71197,585,2017-12-22 15:43:32.960823
