id,referrer_user_id,referree_user_id,created_at,deleted_at
0,804,1088,2022-02-23,
1,1177,1319,2022-03-02,
2,1320,2824,2022-03-01,
3,488,1224,2022-02-23,
4,533,1200,2022-02-24,
5,1603,2633,2022-02-24,
6,1074,1475,2022-03-01,
7,2596,2009,2022-02-22,
8,1552,1130,2022-02-27,
9,2900,2567,2022-02-28,
10,2877,1602,2022-02-22,
11,430,1378,2022-02-26,
12,334,1568,2022-02-23,
13,1224,696,2022-02-27,
14,1300,1564,2022-03-01,
15,1914,237,2022-02-21,
16,1206,792,2022-02-23,
17,1315,1628,2022-02-23,
18,1444,674,2022-02-22,
19,2754,2998,2022-02-23,
20,2161,2341,2022-02-22,
21,540,180,2022-02-23,
22,2767,1507,2022-02-23,
23,209,448,2022-02-24,
24,1997,820,2022-02-24,
25,338,305,2022-02-27,
26,43,2111,2022-02-26,
27,2105,666,2022-02-25,
28,1177,1423,2022-02-26,
29,1706,2924,2022-03-02,
30,187,266,2022-02-24,
31,1744,48,2022-02-22,
32,2539,2831,2022-03-01,
33,445,819,2022-02-21,
34,57,2799,2022-02-25,
35,892,2148,2022-02-22,
36,360,267,2022-02-24,
37,180,2021,2022-03-01,
38,583,1348,2022-02-27,
39,1986,2511,2022-02-22,
40,756,2612,2022-02-21,
41,896,486,2022-03-01,
42,1622,1625,2022-02-26,
43,620,2021,2022-02-24,
44,2028,954,2022-02-24,
45,1645,565,2022-03-01,
46,519,463,2022-03-02,
47,196,1462,2022-03-02,
48,1433,1152,2022-03-01,
49,358,580,2022-02-23,
50,1194,2208,2022-02-28,
51,741,2648,2022-02-26,
52,2865,394,2022-03-01,
53,1378,533,2022-02-24,
54,1701,950,2022-02-24,
55,2702,2676,2022-02-28,
56,2227,2812,2022-02-28,
57,2613,141,2022-02-21,
58,486,1574,2022-03-01,
59,1779,1662,2022-02-25,
60,2983,1200,2022-02-23,
61,1625,2499,2022-02-26,
62,533,1219,2022-03-01,
63,2893,482,2022-02-28,
64,1450,1570,2022-03-01,
65,345,862,2022-02-28,
66,2719,1505,2022-02-28,
67,2566,886,2022-02-23,
68,2414,1076,2022-02-28,
69,1864,1232,2022-02-27,
70,198,1495,2022-02-26,
71,364,1147,2022-02-26,
72,623,885,2022-02-26,
73,603,1701,2022-02-25,
74,2710,6,2022-02-26,
75,1703,2115,2022-03-01,
76,2209,516,2022-02-24,
77,1822,125,2022-02-21,
78,1368,1017,2022-02-28,
79,1780,803,2022-03-01,
80,48,1552,2022-02-24,
81,2227,2394,2022-03-02,
82,1982,1317,2022-03-02,
83,48,1914,2022-03-02,
84,1663,727,2022-02-23,
85,2652,2176,2022-03-02,
86,1738,463,2022-02-24,
87,589,2425,2022-02-23,
88,1827,2490,2022-02-28,
89,402,657,2022-03-01,
90,1294,96,2022-02-23,
91,903,2734,2022-03-02,
92,354,303,2022-02-24,
93,1711,939,2022-03-02,
94,2499,1423,2022-02-21,
95,2343,519,2022-02-27,
96,1808,1332,2022-02-22,
97,574,198,2022-02-27,
98,163,412,2022-02-25,
99,1564,2787,2022-02-27,
100,1378,1277,2022-03-02,
101,1922,2303,2022-02-26,
102,1603,1756,2022-02-25,
103,43,125,2022-02-23,
104,804,939,2022-02-23,
105,334,237,2022-02-23,
106,2303,1017,2022-02-21,
107,1923,1398,2022-02-21,
108,2363,1258,2022-02-28,
109,1287,760,2022-02-27,
110,237,552,2022-02-21,
111,1064,466,2022-02-21,
112,1933,893,2022-02-23,
113,2942,1350,2022-02-21,
114,1294,2425,2022-02-24,
115,480,580,2022-02-22,
116,1393,630,2022-02-26,
117,2676,1306,2022-02-25,
118,303,2413,2022-02-25,
119,553,647,2022-02-27,
120,1982,1194,2022-03-01,
121,1469,764,2022-02-23,
122,1112,1662,2022-02-27,
123,1501,1994,2022-02-25,
124,2514,1429,2022-02-28,
125,1968,564,2022-02-24,
126,2927,2504,2022-02-25,
127,374,2065,2022-02-22,
128,586,2893,2022-03-02,
129,2604,2903,2022-03-02,
130,2363,2171,2022-02-22,
131,382,2274,2022-02-27,
132,2574,756,2022-02-24,
133,792,2929,2022-03-02,
134,2567,2676,2022-02-21,
135,2114,2209,2022-03-01,
136,1177,180,2022-02-27,
137,819,2355,2022-02-26,
138,1444,153,2022-02-27,
139,1214,2589,2022-02-27,
140,1179,2176,2022-02-21,
141,760,482,2022-02-26,
142,1231,2812,2022-02-25,
143,266,476,2022-02-28,
144,2209,1088,2022-03-02,
145,836,1567,2022-02-28,
146,1554,1990,2022-03-02,
147,2488,448,2022-02-28,
148,2927,1590,2022-02-24,
149,2997,625,2022-02-28,
150,1541,2295,2022-02-28,
151,522,1444,2022-03-02,
152,452,285,2022-02-21,
153,2273,2024,2022-03-01,
154,868,1874,2022-03-01,
155,1315,364,2022-02-25,
156,1156,2953,2022-02-26,
157,2176,2696,2022-02-27,
158,425,1690,2022-02-25,
159,603,354,2022-02-24,
160,1701,52,2022-03-01,
161,194,897,2022-02-26,
162,2230,1648,2022-02-22,
163,821,1501,2022-03-01,
164,2150,937,2022-02-21,
165,1870,1570,2022-02-26,
166,2739,1934,2022-02-21,
167,1194,2078,2022-02-23,
168,954,1732,2022-02-26,
169,2469,373,2022-02-27,
170,880,1344,2022-02-27,
171,2109,2116,2022-02-24,
172,2898,1200,2022-02-28,
173,849,2028,2022-02-28,
174,409,1645,2022-02-26,
175,2812,280,2022-03-02,
176,2888,420,2022-02-28,
